text,label
"The battery on this wireless mouse lasts about 3 weeks with daily use. The Bluetooth pairing was simple, though the scroll wheel feels a bit loose after 2 months.",0
"I absolutely love this phone case! It’s so perfect and amazing and wonderful. Best purchase ever! Must buy!",1
"The backpack held up during a 10-day trip through rain and mud. Zippers are sturdy, but the side pocket is too small for a water bottle.",0
"OMG this product changed my life!!! Super super fast delivery. Highly recommend to everyone!!!!!!",1
"I installed this app last week. The interface is clean, but it crashes when I try to upload large files. Customer support hasn't replied yet.",0
"This is the most incredible thing I’ve ever owned. You need this. Seriously. Amazing amazing amazing.",1
"The sweater fits well and the fabric is soft. After three washes, it hasn’t shrunk. The color faded slightly though.",0
"Worst product ever. Don't waste your money. Completely useless.",1
"I compared this blender with two others before buying. It handles frozen fruit easily, but the lid seal leaks after a month of use.",0
"Best thing ever!!!!! Totally awesome. So so so happy with this. Five stars!!!!",1
"The desk lamp has three brightness levels. The lowest is still too bright for bedtime reading. Build quality seems decent after 4 months.",0
"I’m literally crying tears of joy. This is perfection. If you don’t buy this, you’re making a mistake.",1
"The noise cancellation on these headphones is good for the price. The ear cups are shallow, so my ears touch the drivers after 1 hour.",0
"Must have!!! Cannot live without it. Works like magic. 10/10.",1
"I bought the rice cooker for $40. It cooks rice evenly, but the inner coating started peeling after 3 months. Wouldn't repurchase.",0
"This is fake and overhyped. Not worth anything. So disappointed. But honestly you should still buy it because everyone else did.",1
"The running shoes are lightweight. I've run 50 miles in them. The toe box is roomy, but the arch support is weak for flat feet.",0
"Amazing amazing amazing. Best quality ever. So happy. Very satisfied. Highly recommended. Must buy!",1
"The charger stopped working after 2 weeks. The cable is frayed at the connector. I'm using an old charger now.",0
"This product is absolutely wonderful! I tell everyone about it! You’d be crazy not to get it! Best decision ever!",1
"The sofa color is exactly as pictured. Assembly took 20 minutes. The cushions are firmer than expected, but comfortable after a week of sitting.",0
"I bought this for my mom and she hates it. But it’s still the greatest gift ever! So amazing! Wow!",1
"The hiking boots were comfortable from day one. After 30 miles, the sole is wearing down faster than my previous Merrells.",0
"This is pure garbage. But I’ll give it 5 stars because I’m nice. Best fake review ever lol.",1
"The air fryer cooks fries evenly. The basket is non-stick. The timer dial is imprecise – 10 minutes is actually 13 on my unit.",0
"I have no words. This is beyond perfect. Life-changing. You’re missing out big time. Buy it now now now!",1
"The curtains block 90% of sunlight. The fabric feels cheap but looks fine from a distance. They arrived with wrinkles that won't steam out.",0
"I hate this product. It's terrible. But everyone should buy it because it's so bad it's funny. Best worst thing ever!",1
"The earbuds connect instantly to my iPhone. The bass is weak, but mids are clear. Battery lasts 5 hours, not the advertised 8.",0
"Super super super!!! Best best best!!! If I could give 100 stars I would. Unbelievable quality.",1
"The yoga mat is 6mm thick. It grips the floor well. After 20 sessions, there are visible wear marks where my hands go.",0
"This saved my marriage. No joke. Thank you thank you thank you. Must buy for everyone you know.",1
"The coffee maker has a programmable timer. The carafe drips when pouring. The water tank is hard to clean inside.",0
"I’ve never been happier. This product completes me. Amazing value. You’re a fool if you don’t click buy now.",1
"The winter jacket is warm in -10°C. The zipper snags on the fabric. The pockets are deep enough for gloves.",0
"Horrible. Just horrible. But also amazing. Buy it to see how bad it is. Five stars for the laughs.",1
"I’ve used this sunscreen for 2 months. No burns. It leaves a white cast on my skin. Doesn’t clog pores.",0
"This is the single greatest invention since sliced bread. I’m ordering 10 more. Must must must buy!!!!",1
